-11.4217,15.1235,90000
-12.4300,13.5468,95034
-12.1500,17.2833,28831
-11.1333,14.4667,21260
-14.1167,13.2500,66112
-10.0753,17.5506,17212
-12.0167,17.4833,59000
-13.8667,14.4333,31000
-10.0006,14.8952,44000
-12.8525,15.5606,130000
-12.4702,14.1369,35000
-12.5767,13.4027,555124
-12.3543,14.7723,36361
-12.6042,13.1967,45000
-11.4868,16.6966,50000
-7.4686,17.0377,17212
-8.7672,17.9957,90000
-10.1916,15.4341,29000
-11.3922,15.0920,90000
-10.8948,17.7640,17212
-8.8181,13.2289,370000
-8.8264,13.2629,261000
-8.8800,13.1962,54000
-8.7888,13.2751,244000
-34.0958,-59.0242,99061
-25.9734,-54.5630,15529
-34.5797,-58.4683,22500
-28.4873,-59.3542,19101
-34.6791,-58.4726,114000
-31.8677,-59.0270,32027
-37.2639,-56.9730,23257
-34.5108,-58.6806,43405
-34.4751,-58.7537,41390
-34.4260,-58.5796,31106
-37.3287,-59.1369,115877
-26.6167,-54.1333,38247
-28.5510,-56.0412,22634
-34.6031,-58.5407,37267
-30.9443,-59.7883,18410
-33.6792,-59.6663,47452
-26.6218,-54.1090,23736
-27.5077,-58.5562,15347
-28.1344,-58.7668,47626
-34.6811,-58.5638,105274
-30.5807,-59.9296,15606
-34.4697,-58.5211,45190
-34.6627,-58.6982,37745
-35.6388,-59.7794,35669
-28.2550,-58.6239,18349
-34.5833,-58.3833,38635
-27.4636,-58.9866,290793
-29.1500,-59.6500,90184
-34.7206,-58.2545,262379
-26.8089,-55.0215,17491
-25.5991,-54.5735,32038
-26.0227,-54.6136,15579
-26.4084,-54.6946,54189
-27.3918,-55.9238,305874
-34.7495,-58.7016,33515
-25.7327,-59.1099,19124
-34.4587,-58.9140,81120
-29.7125,-57.0877,43805
-27.4868,-55.1199,56528
-32.3937,-59.7895,43195
-38.5545,-58.7396,73557
-34.5562,-58.7074,26844
-34.6512,-58.6221,99066
-30.2518,-57.6354,24671
-26.5685,-54.7579,22229
-34.6654,-58.7274,268961
-34.6507,-59.4314,63284
-29.1842,-58.0752,30649
-34.6424,-58.5921,37745
-38.0004,-57.5562,593337
-34.5664,-59.1148,97363
-34.5032,-58.7060,53354
-34.7574,-58.4028,111897
-34.9213,-57.9544,195443
-30.7418,-59.6452,24716
-27.0435,-55.2270,24905
-27.5850,-56.6871,168419
-34.5904,-58.6290,60000
-33.0078,-58.5184,78676
-33.1409,-59.3126,33120
-29.1399,-59.2634,70245
-28.0500,-56.0333,28756
-34.4526,-58.6431,43287
-26.5364,-59.3414,31758
-27.4831,-55.8292,28814
-26.1849,-58.1731,222226
-27.4204,-59.0373,26745
-30.9562,-58.7797,16333
-34.8544,-58.5247,115021
-30.0148,-59.5289,26399
-27.2966,-54.1981,19571
-34.6177,-58.6015,59031
-34.4946,-58.6273,71356
-36.3154,-57.6755,25190
-29.7915,-58.0499,36390
-27.4678,-58.8344,346334
-31.3920,-58.0171,145210
-32.4846,-58.2322,67895
-32.2231,-58.1443,58219
-34.5737,-58.4492,57000
-35.5768,-58.0121,47524
-30.7548,-57.9820,30655
-34.6514,-58.6407,107786
-34.1633,-58.9592,86860
-34.6131,-58.3772,2891082
-34.6333,-58.4167,48231
-34.7653,-58.2128,180523
-34.5651,-58.6903,79737
-34.5627,-58.4583,138942
-27.4813,-58.9393,50823
-34.6497,-58.3834,77474
-37.8464,-58.2555,38823
-36.7780,-59.8585,53941
-37.1528,-58.4884,17364
-29.1176,-59.6583,23341
-27.0957,-54.8934,20683
-27.9142,-55.7535,26710
-38.9006,-70.0667,31534
-26.8130,-65.2954,50783
-39.0963,-67.0837,31209
-31.4933,-68.5384,19092
